9998,9998,,,
9997,9997,1,1,2767
9996,9996,1,2,
9996,9995,1,0,
9995,9993,2,2,
9993,9991,2,0,
9991,9987,4,0,
9991,9986,1,1,
9987,9984,2,0,
9986,9983,1,1,
9986,9982,1,2,
9986,9981,1,0,
9984,9980,1,1,
9984,9978,2,0,
9983,9976,2,2,
9982,9975,1,0,
9982,9973,2,2,
9981,9972,1,0,
9980,9970,2,2,
9978,9968,2,0,
9976,9967,1,1,
9975,9966,1,2,
9973,9963,3,0,
9972,9962,1,1,
9970,9961,1,2,
9970,9959,2,0,
9968,9957,2,2,
9968,9955,2,0,
9968,9952,3,0,
9968,9951,1,1,
9968,9949,2,0,
9967,9948,1,1,
9966,9947,1,2,
9966,9946,1,0,
9966,9944,2,2,
9966,9943,1,0,
9963,9942,1,1,
9962,9941,1,2,
9962,9938,3,0,
9961,9936,2,2,
9961,9935,1,0,
9959,9932,3,0,
9957,9927,5,0,
9955,9926,1,1,
9952,9924,2,0,
9951,9921,3,0,
9949,9920,1,1,
9949,9919,1,2,
9948,9917,2,0,
9948,9916,1,1,
9948,9915,1,2,
9948,9912,3,0,
9947,9911,1,1,
9947,9910,1,2,
9946,9909,1,0,
9944,9908,1,1,
9943,9907,1,2,
9943,9905,2,0,
9943,9904,1,1,
9942,9903,1,2,
9941,9901,2,0,
9941,9900,1,1,
9938,9899,1,2,
9936,9898,1,0,
9935,9897,1,1,
9932,9896,1,2,
9927,9895,1,0,
9926,9893,2,2,
9924,9891,2,0,
9921,9890,1,1,
9921,9887,3,0,
9920,9886,1,1,
9920,9885,1,2,
9919,9883,2,0,
9917,9881,2,2,
9916,9878,3,0,
9915,9877,1,1,
9912,9875,2,0,
9911,9874,1,1,
9910,9870,4,0,
9910,9869,1,1,
9909,9868,1,2,
9908,9867,1,0,
9907,9866,1,1,
9907,9862,4,0,
9905,9859,3,0,
9904,9858,1,1,
9903,9856,2,0,
9901,9854,2,2,
9900,9853,1,0,
9900,9852,1,1,
9899,9850,2,0,
9898,9849,1,1,
9897,9848,1,2,
9896,9846,2,0,
9895,9843,3,0,
9893,9842,1,1,
9891,9840,2,0,
9890,9838,2,2,
9887,9836,2,0,
9887,9834,2,2,
9886,9832,2,0,
9885,9830,2,2,
9885,9829,1,0,
9883,9828,1,1,
9881,9827,1,2,
9878,9826,1,0,
9878,9825,1,1,
9877,9824,1,2,
9875,9823,1,0,
9874,9822,1,1,
9874,9819,3,0,
9870,9818,1,1,
9869,9817,1,2,
9868,9815,2,0,
9867,9813,2,2,
9866,9812,1,0,
9862,9811,1,1,
9859,9810,1,2,
9859,9809,1,0,
9859,9808,1,1,
9858,9806,2,0,
9856,9805,1,1,
9856,9797,8,0,
9854,9794,3,0,
9853,9792,2,2,
9853,9789,3,0,
9853,9788,1,1,
9852,9787,1,2,
9850,9786,1,0,
9850,9785,1,1,
9849,9784,1,2,
9848,9783,1,0,
9846,9782,1,1,
9843,9781,1,2,
9843,9779,2,0,
9842,9777,2,2,
9840,9774,3,0,
9840,9773,1,1,
9840,9772,1,2,
9838,9771,1,0,
9836,9769,2,2,
9836,9767,2,0,
9834,9766,1,1,
9834,9763,3,0,
9834,9762,1,1,
9832,9761,1,2,
9830,9760,1,0,
9829,9758,2,2,
9829,9755,3,0,
9828,9754,1,1,
9827,9753,1,2,
9826,9752,1,0,
9825,9751,1,1,
9825,9750,1,2,
9824,9749,1,0,
9824,9742,7,0,
9824,9741,1,1,
9823,9739,2,0,
9822,9738,1,1,
9822,9737,1,2,
9819,9735,2,0,
9818,9734,1,1,
9817,9730,4,0,
9815,9729,1,1,
9813,9726,3,0,
9813,9725,1,1,
9812,9724,1,2,
9812,9723,1,0,
9811,9722,1,1,
9811,9721,1,2,
9811,9720,1,0,
9810,9719,1,1,
9810,9718,1,2,
9810,9715,3,0,
9809,9712,3,0,
9808,9710,2,2,
9806,9709,1,0,
9806,9708,1,1,
9805,9707,1,2,
9797,9706,1,0,
9797,9705,1,1,
9794,9703,2,0,
9792,9702,1,1,
9789,9700,2,0,
9789,9698,2,2,
9789,9697,1,0,
9788,9695,2,2,
9787,9694,1,0,
9787,9692,2,2,
9786,9689,3,0,
9786,9688,1,1,
9785,9687,1,2,
9784,9685,2,0,
9783,9684,1,1,
9783,9682,2,0,
9782,9681,1,1,
9781,9678,3,0,
9781,9677,1,1,
9781,9673,4,0,
9779,9672,1,1,
9779,9670,2,0,
9777,9669,1,1,
9777,9668,1,2,
9777,9664,4,0,
9774,9662,2,2,
9773,9657,5,0,
9772,9655,2,2,
9772,9653,2,0,
9772,9651,2,2,
9771,9649,2,0,
9769,9648,1,1,
9767,9647,1,2,
9766,9645,2,0,
9763,9644,1,1,
9762,9643,1,2,
9761,9642,1,0,
9760,9641,1,1,
9758,9640,1,2,
9758,9636,4,0,
9758,9635,1,1,
9758,9634,1,2,
9755,9633,1,0,
9755,9632,1,1,
9754,9631,1,2,
9754,9629,2,0,
9754,9628,1,1,
9754,9627,1,2,
9753,9624,3,0,
9752,9623,1,1,
9751,9621,2,0,
9750,9620,1,1,
9750,9619,1,2,
9749,9618,1,0,
9742,9617,1,1,
9741,9616,1,2,
9741,9615,1,0,
9741,9614,1,1,
9739,9613,1,2,
9739,9612,1,0,
9738,9611,1,1,
9737,9609,2,0,
9735,9608,1,1,
9735,9607,1,2,
9735,9606,1,0,
9734,9605,1,1,
9730,9604,1,2,
9730,9603,1,0,
9729,9601,2,2,
9729,9599,2,0,
9726,9597,2,2,
9725,9596,1,0,
9725,9593,3,0,
9724,9592,1,1,
9723,9591,1,2,
9722,9589,2,0,
9722,9588,1,1,
9721,9587,1,2,
9721,9585,2,0,
9720,9584,1,1,
9720,9582,2,0,
9719,9580,2,2,
9718,9576,4,0,
9715,9574,2,2,
9712,9572,2,0,
9712,9571,1,1,
9712,9568,3,0,
9710,9567,1,1,
9710,9566,1,2,
9709,9563,3,0,
9709,9560,3,0,
